page,line,tag,label,classHint,verdict,expected_action,proposed_fix
"01-signin.tsx","28","a","","font-medium text-slate-700 hover:underline","WIRED","navigate","OK"
"01-signin.tsx","46","button","","h-auto w-full justify-center gap-2 rounded-md bg-primary py-2.5 text-[14px] font","WIRED","fire onClick","OK"
"01-signin.tsx","56","button","","h-auto w-full justify-center gap-2 rounded-md border-slate-200 bg-white py-2.5 t","WIRED","fire onClick","OK"
"01-signin.tsx","82","button","","h-auto w-full justify-center gap-2 rounded-md border-slate-200 bg-white py-2.5 t","WIRED","fire onClick","OK"
"01-signin.tsx","112","button","","h-auto w-full justify-center gap-2 rounded-md border-slate-200 bg-white py-2.5 t","WIRED","fire onClick","OK"
"01-signin.tsx","124","a","","text-slate-600 hover:underline","WIRED","navigate","OK"
"01-signin.tsx","128","a","","text-slate-600 hover:underline","WIRED","navigate","OK"
"01-signin.tsx","142","a","","hover:text-slate-600","WIRED","navigate","OK"
"01-signin.tsx","145","a","","hover:text-slate-600","WIRED","navigate","OK"
"02-onboarding.tsx","74","button","","","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"02-onboarding.tsx","101","div","","","DECORATIVE","fire onClick","wire handler or mark data-disabled"
"02-onboarding.tsx","165","div","","flex cursor-pointer items-center justify-between rounded-md border border-border","DECORATIVE","navigate/switch-pane","wire onClick to swap pane / route / set active"
"02-onboarding.tsx","242","button","","flex items-center gap-2 rounded-md px-2 py-1 hover:bg-hover","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"02-onboarding.tsx","260","button","","h-auto px-2.5 py-1.5 text-[13px] font-medium text-secondary hover:bg-hover hover","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"02-onboarding.tsx","312","button","","h-auto gap-1.5 rounded-md px-3.5 py-[7px] text-[13px] font-medium","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"02-onboarding.tsx","349","button","","h-auto gap-1.5 rounded-md px-3.5 py-[7px] text-[13px] font-medium","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"02-onboarding.tsx","369","button","","h-auto px-2.5 py-1.5 text-[13px] font-medium text-secondary hover:bg-hover hover","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"03-dashboard.tsx","214","button","","","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"03-dashboard.tsx","295","div","","","DECORATIVE","fire onClick","wire handler or mark data-disabled"
"03-dashboard.tsx","430","button","","flex items-center gap-2 rounded-md px-2 py-1 hover:bg-hover focus-visible:outlin","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"03-dashboard.tsx","452","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[13px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"03-dashboard.tsx","461","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[13px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"03-dashboard.tsx","469","button","","h-auto gap-1.5 bg-primary px-3.5 py-[7px] text-[13px] text-background hover:bg-p","WIRED","fire onClick","OK"
"03-dashboard.tsx","565","button","","h-auto px-2.5 py-1.5 text-[12px] text-secondary hover:bg-hover hover:text-foregr","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"03-dashboard.tsx","618","button","","h-auto px-2.5 py-1.5 text-[12px] text-secondary hover:bg-hover hover:text-foregr","WIRED","fire onClick","OK"
"03-dashboard.tsx","654","button","","h-auto px-2.5 py-1.5 text-[12px] text-secondary hover:bg-hover hover:text-foregr","WIRED","fire onClick","OK"
"03-dashboard.tsx","717","button","","h-auto px-2.5 py-1.5 text-[12px] text-secondary hover:bg-hover hover:text-foregr","WIRED","fire onClick","OK"
"04-contacts.tsx","114","button","","","WIRED","fire onClick","OK"
"04-contacts.tsx","201","div","","","DECORATIVE","fire onClick","wire handler or mark data-disabled"
"04-contacts.tsx","317","button","","flex items-center gap-2 rounded-md px-2 py-1 hover:bg-hover focus-visible:outlin","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","339","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[13px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","347","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[13px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","355","button","","","WIRED","fire onClick","OK"
"04-contacts.tsx","368","button","","","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","390","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[12px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","399","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[12px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","407","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[12px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","415","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[12px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","423","button","","h-auto gap-1.5 px-2.5 py-1.5 text-[12px] text-secondary hover:bg-hover hover:tex","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","432","button","","h-auto gap-1.5 px-2.5 py-1.5 text-[12px] text-secondary hover:bg-hover hover:tex","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","441","button","","rounded-l-md bg-border-subtle px-2 py-1.5 text-foreground hover:bg-border-subtle","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","447","button","","px-2 py-1.5 text-muted hover:text-secondary focus-visible:outline-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","554","button","","h-auto bg-border-subtle px-2 py-[7px] text-[12px] text-foreground hover:bg-borde","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","561","button","","h-auto px-2 py-[7px] text-[12px] text-secondary hover:bg-hover hover:text-foregr","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","568","button","","h-auto px-2 py-[7px] text-[12px] text-secondary hover:bg-hover hover:text-foregr","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"04-contacts.tsx","576","button","","h-auto px-2 py-[7px] text-[12px] text-secondary hover:bg-hover hover:text-foregr","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"05-contact-detail.tsx","164","button","","","WIRED","fire onClick","OK"
"05-contact-detail.tsx","273","div","","","DECORATIVE","fire onClick","wire handler or mark data-disabled"
"05-contact-detail.tsx","380","button","","flex items-center gap-2 rounded-md px-2 py-1 hover:bg-hover focus-visible:outlin","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"05-contact-detail.tsx","430","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[13px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"05-contact-detail.tsx","438","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[13px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"05-contact-detail.tsx","446","button","","h-auto gap-1.5 border-primary bg-primary px-3.5 py-[7px] text-[13px] text-backgr","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"05-contact-detail.tsx","511","button","","","WIRED","fire onClick","OK"
"05-contact-detail.tsx","553","button","","h-auto px-2.5 py-1.5 text-[12px] text-secondary hover:bg-hover hover:text-foregr","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"05-contact-detail.tsx","625","button","","","WIRED","fire onClick","OK"
"06-vendors.tsx","113","button","","","WIRED","fire onClick","OK"
"06-vendors.tsx","200","div","","","DECORATIVE","fire onClick","wire handler or mark data-disabled"
"06-vendors.tsx","354","button","","flex items-center gap-2 rounded-md px-2 py-1 hover:bg-hover focus-visible:outlin","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"06-vendors.tsx","376","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[13px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"06-vendors.tsx","384","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[13px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"06-vendors.tsx","392","button","","","WIRED","fire onClick","OK"
"06-vendors.tsx","405","button","","","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"06-vendors.tsx","427","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[12px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"06-vendors.tsx","436","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[12px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"06-vendors.tsx","444","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[12px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"06-vendors.tsx","452","button","","h-auto gap-1.5 px-3.5 py-[7px] text-[12px] focus-visible:ring-foreground","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
"06-vendors.tsx","461","button","","h-auto gap-1.5 px-2.5 py-1.5 text-[12px] text-secondary hover:bg-hover hover:tex","DECORATIVE","fire onClick","wire onClick OR add data-disabled=true with explanatory tooltip"
